,Unnamed: 0,Espèce,Description,Nom latin,Famille,Taille,Région,Habitat,Fun fact,Photo,Empreintes
0,0,Castor,"Le castor d’Europe, appelé également le castor commun ou le castor d’Eurasie, est un mammifère rongeur aquatique de la famille des castoridés.",Castor canadensis,Mammifère,100 à 135 cm queue comprise,Europe du nord et Eurasie,"Le castor d’Europe vit le long des rivières, des ruisseaux, des lacs et des étangs.","À l’exception des humains, le castor est l’un des seuls mammifères qui façonnent son environnement.",https://www.dropbox.com/scl/fi/47679tlauzhrqow5yg05s/castor.webp?rlkey=g3whd5etbvfx5u74t2z5c1lug&st=i8jfc6ay&dl=1,https://www.dropbox.com/scl/fo/4g17aewbhxi86v3dtqcn6/AGEHP9Di20YtG1SjDTNSwNk?rlkey=enteychrvanuz5f62m00vmx0a&st=yst2hnij&dl=1
1,1,Chat,"Le Chat sauvage4 (Felis silvestris) est une espèce de félins du genre Felis présent dans divers types d'habitats. Son aire de répartition couvre l’Europe, l’Asie occidentale et l’Afrique.",Felis silvestris,Mammifère,46 à 51 cm sans la queue,"Amérique, Europe, Asie occidentale et Afrique",,Un chat ne peut pas voir directement sous son nez !,https://www.dropbox.com/scl/fi/8howpt7ap1qd3du74r2m1/chat.webp?rlkey=189yp1v5mamwh0el87yqd7huu&st=99v97phu&dl=1,https://www.dropbox.com/scl/fo/13rt1u34dcxeol5ak12f2/ALXpDAHC3F0PciSTBiZRsjA?rlkey=ldo74pwvwxp3vr8uinvq5jdn6&st=em1m8efs&dl=1
2,2,Chien,"Alors qu'on estimait autrefois que le Chien constituait une espèce à part entière (Canis canis ou encore Canis familiaris), les recherches génétiques contemporaines ont permis d'établir qu'il n'est que le résultat de la domestication du loup gris commun.",Canis lupus familiaris,Mammifère,,Hémisphère nord,,L'empreinte de la truffe d'un chien est aussi unique que l'empreinte digitale chez les humains.,https://www.dropbox.com/scl/fi/c3w3u9zkk2iprzicp0gw1/chien.webp?rlkey=0yh47k647qgixxnnbdo5guzys&st=5gvtnn19&dl=1,https://www.dropbox.com/scl/fo/ho5vqd8gbivt08v5tj20b/AI03bgGfz-hs_oldV24pG_k?rlkey=3klnnjbzekbn6kd703zkj1zl2&st=ntazd8d2&dl=1
3,3,Coyote,"Le coyote, également appelé le chacal américain, est un mammifère carnivore apparenté au loup gris (mais de taille plus petite), de la famille des canidés.",Canis latrans,Mammifère,70 à 120 cm,"Amérique du nord, Amérique centrale","Le coyote vit dans les plaines, les prairies, les déserts, les régions boisées. On peut l’apercevoir également à la périphérie des villes.","Animal social et parfois solitaire, le coyote vit le plus souvent en couple ou en meute familiale de plusieurs individus. Le coyote est un mammifère monogame.",https://www.dropbox.com/scl/fi/q290ifx85g9a9rsf2ln36/coyote.webp?rlkey=1zh14no6w5zz87vehdscdoeq9&st=b9r2nw6q&dl=1,https://www.dropbox.com/scl/fo/lxzg87no5llo7y3y1erca/AHSb-pPhtRvdz_qBhlSvGAc?rlkey=qgb3zhc8m78srh1ejrgszg9tb&st=appls8n8&dl=1
4,4,Ecureuil,L’écureuil est un rongeur arboricole appartenant à l’ordre des rodentiens (rongeurs) et à la famille des sciuridés.,Sciurus vulgaris,Mammifère,20 à 25 cm,"Eurasie (Europe, Asie Centrale)","Animal arboricole par excellence, l’écureuil roux vit dans les forêts de conifères (pins épicéas), les forêts de feuillus et les forêts mixtes.",L'écureuil est l’un des rares mammifères à pouvoir distinguer les couleurs.,https://www.dropbox.com/scl/fi/8bogpup7lflipxld4lqur/ecureil.webp?rlkey=n617tci1kaefi1u94twbriaku&st=28l1nk9q&dl=1,https://www.dropbox.com/scl/fo/0wwscuik09ouhqjzajbd3/AD9-SNo_xSAAWF5UGYZXaFM?rlkey=r74xy7qalyu01m940qoff5xmk&st=wzbxathg&dl=1
5,5,Lapin,"Le lapin de garenne, appelé également le lapin sauvage, le lapin européen ou le lapin des bois, est un petit mammifère herbivore appartenant à l’ordre des lagomorphes et à la famille des léporidés.",Oryctolagus cuniculus,Mammifère,34 à 50 cm,Europe et Afrique du Nord,"Le lapin de garenne vit dans des milieux où les sols sont meubles et bien drainés pour y construire son terrier : les prairies, les forêts, les bosquets, les lisières de forêts, les landes, les garrigues, les bocages.","Le lapin de garenne sauvage a été domestiqué par l’homme depuis le Moyen-âge et élevé pour sa viande et sa fourrure. A cette époque, le mammifère était élevé en semi-liberté dans des garennes (d’où son nom).",https://www.dropbox.com/scl/fi/8e81k32hbfk7u931ncmxr/lapin.webp?rlkey=7ck53y0c2u6quvm1mdks7ggy6&st=hjn3ea4a&dl=1,https://www.dropbox.com/scl/fo/0akxglyq5w2yz3bcsdeub/ANkWnKRlK1cpBbago-aCagk?rlkey=hjarah3eywm7ftbepgqomx2sf&st=w7as1fgq&dl=1
6,6,Loup,"Le loup gris commun, appelé également le loup européen ou le loup vulgaire, est un mammifère carnivore de la famille des canidés.",Canis lupus lupus,Mammifère,"0,90 à 1,10 m pour les femelles ; 1 à 1,30 m pour les mâles",Eurasie ,"Le loup gris commun vit dans les forêts tempérées, les massifs montagneux (Alpes), les plaines, les grandes steppes eurasiennes, les environnements escarpés et isolés.",Les loups solitaires sont le plus souvent des loups qui ont été chassés de leur meute.,https://www.dropbox.com/scl/fi/b7qrzud49mprdnsgs425n/loup.jpg?rlkey=9ch8ymsdjsixw4wnurozlnxal&st=7l6wnlxk&dl=1,https://www.dropbox.com/scl/fo/fd5g0r2jp6w3e4cbtofy4/AM49lzgSECef5W98E5OaMNQ?rlkey=isfkod7uzjj8ueiva11ohd5cg&st=r3i8zwon&dl=1
7,7,Lynx,"Le lynx commun, appelé également le lynx boréal, le lynx d’Eurasie ou le loup-cervier, est un mammifère carnivore de la famille des félins.",Lynx lynx,Mammifère,75 à 135 cm,Eurasie ,"L’espèce vit dans les forêts denses, les forêts boréales, les steppes, les zones montagneuses.","L’expression « avoir un œil de lynx » vient du fait que ce félin a une vue excellente. Il peut repérer une proie de petite taille (lapin) à plus de 300 m, et une buse dans le ciel à 4 km.",https://www.dropbox.com/scl/fi/osg2d3cuhyuzd0mgfg92j/lynx.jpg?rlkey=zfgccvvabr3yadelurg9nojps&st=bb0gpy60&dl=1,https://www.dropbox.com/scl/fo/yjjrcewadrmoymul7dr9q/AC9g0Wz48q-iuQMm9FQm9QA?rlkey=3ly7wj9djstaiyr0s2y0ohlc4&st=ykfzn127&dl=1
8,8,Ours,"L’ours brun est un mammifère omnivore de la famille des ursidés vivant en Amérique du Nord, en Europe et en Russie.",Ursus arctos,Mammifère,"1,5 m à 3,5 m debout sur ses postérieurs","Amérique du Nord, Europe, Russie, Asie","L’ours brun vit dans les forêts montagneuses, les zones semi ouvertes, à proximité des rivières.",Les ours bruns passent l’hiver à hiverner dans des cavernes ou des grottes. Ils accumulent pendant l’été et l’automne une quantité de nourriture importante afin d’avoir assez de graisse pour pouvoir passer l’hiver sans se nourrir.,https://www.dropbox.com/scl/fi/6ph71fha9w963jjqkemu2/ours-brun-oursons.jpg?rlkey=ho18lc1q89tdn75gjxn2kp1p2&st=iyz6q5b5&dl=1,https://www.dropbox.com/scl/fo/5gzkzawohpzt06e67vghg/ADByKlMOhCl7MlzP3hNn_a4?rlkey=f9luga0k1t9o5jnfrc8727136&st=saj7etru&dl=1
9,9,Puma,"Le puma, appelé également le cougar ou le lion de montagne, est un grand mammifère carnivore de la famille des félins.",Puma concolor,Mammifère,"1 à 2,30 m",Amérique du Nord et Amérique du Sud,"Le puma vit dans les forêts, les prairies, les zones marécageuses.",Le puma est un animal qui peut s’apprivoiser facilement. Certains fermiers en Argentine apprivoisent les félins et les laissent vivre en semi-liberté à la manière des chats.,https://www.dropbox.com/scl/fi/gwm7c60apqdowb3lmiebq/puma.webp?rlkey=7gnj5zvivq619ugqmoo7h6xmf&st=3cf626b1&dl=1,https://www.dropbox.com/scl/fo/fm6g0pa5cvmgqlo4s616d/AABdQZsG3zrb5rBP5Myujls?rlkey=b6s1d6f9szu48a4h52ponx7us&st=iowbc6y6&dl=1
10,10,Rat,Le rat est un genre de gros Muridés originaires d'Asie dont deux espèces ont colonisé l'Europe et le reste du monde,Rattus rattus,Mammifère,11 à 28cm sans la queue,Monde entier,,L'Antarctique est le seul continent inhabité par les rats.,https://www.dropbox.com/scl/fi/6y6c0otzowr1comac86k4/rat.jpg?rlkey=2fzn2mfsfj8z36g33b2nt4zm0&st=n500gpz5&dl=1,https://www.dropbox.com/scl/fo/350yuwum2ym54x2v3qf4b/ADMJySzUSWxxDhLFlDDwmF0?rlkey=bhl7c7un4yv0lxlhltbi241d7&st=n2ep30o0&dl=1
11,11,Raton laveur,Le raton laveur commun est un mammifère carnivore de la famille des procyonidés.,Procyon lotor,Mammifère,40 à 80 cm,"Amérique du Nord, Amérique Centrale, Mexique, Europe, Moyen Orient, Japon","Le raton laveur vit dans les forêts, à proximité des cours d’eau et des marécages.",Son surnom de « laveur«  proviendrait du fait qu’il lave ses proies ou ses aliments avant de les manger. Cette hypothèse s’avérerait fausse ; il s’agit simplement du fait qu’il évolue le long des cours d’eau et se nourrit de nombreuses espèces aquatiques.,https://www.dropbox.com/scl/fi/q4f4tvo26hojwdy0teipy/raton_laveur.jpg?rlkey=a3t2t8gatenqjdsii6asv7nyj&st=kl0pnz2w&dl=1,https://www.dropbox.com/scl/fo/96ywgkkascp2ae0j4t6m3/ACgXJ-MZW-_JictWEZtSsus?rlkey=18xcf1y16sh6k4k1t122cfvs4&st=nguja7c5&dl=1
12,12,Renard,"Le renard roux, appelé également le renard commun ou le renard rouge, est un mammifère carnivore de la famille des canidés.",Vulpes vulpes,Mammifère,90 à 120 cm,"Europe, Afrique du Nord, Moyen-Orient, Asie, Australie, Amérique du Nord","L’espèce vit dans les forêts, les champs, les prairies, les toundras, les steppes, les montagnes,","Les renards utilisent le champ magnétique de la Terre comme un ""radar"" pour chasser.",https://www.dropbox.com/scl/fi/9jtdqby7irk57jofksmrh/renard.jpg?rlkey=33btbpm1b22qv6xte3onwyhhk&st=gvwqj0s2&dl=1,https://www.dropbox.com/scl/fo/se80q7rto0n00l43te3bd/ABUEELWOpcqXGXo996J9qIw?rlkey=xbbqmfq606kxxitsxb5kjld5t&st=1zctqmx0&dl=1
